,0,1,2,3
702,officer,01-0-11,-1.2127,18
703,officer,01-0-10,-0.9104,7
704,officer,07-21-10,-1.2334,9
705,officer,07-21-11,0.353,40
706,officer,07-21-12,-12.7411,104
707,officer,07-21-13,-21.924,234
708,officer,07-21-14,-50.8145,725
709,officer,04-14-09,1.4309,4
710,officer,09-14-09,1.8115,7
711,officer,12-0-14,-1874.9809,8352
712,officer,12-0-13,-11.4644,316
713,officer,12-0-12,-9.8085,115
714,officer,12-0-11,-5.3231,58
715,officer,12-0-10,-2.3911,15
716,officer,04-21-09,0.0,1
717,officer,06-7-09,-0.2765,14
718,officer,01-7-09,-0.2468,4
719,officer,08-28-11,-0.4473,22
720,officer,01-21-14,-39.349,486
721,officer,01-21-15,-60.3333,685
722,officer,01-21-12,1.198,57
723,officer,01-21-13,-8.0733,195
724,officer,01-21-10,0.1119,5
725,officer,01-21-11,-2.78,23
726,officer,07-0-11,-10.6723,56
727,officer,05-14-09,-0.5426,10
728,officer,03-14-09,0.4819,3
729,officer,12-7-09,0.3142,8
730,officer,02-0-15,-3.8446,214
731,officer,02-0-12,0.2036,59
732,officer,02-0-13,-17.5756,156
733,officer,02-0-10,-2.2275,12
734,officer,02-0-11,-3.8527,14
735,officer,12-21-14,-2716.6822,10476
736,officer,12-21-12,-5.6221,228
737,officer,12-21-13,-3.2214,214
738,officer,12-21-10,-0.6334,19
739,officer,12-21-11,-5.5155,37
740,officer,02-14-10,-3.6086,12
741,officer,02-14-11,-2.269,33
742,officer,02-14-12,4.2681,67
743,officer,02-14-13,-15.6148,230
744,officer,02-14-14,-24.4594,425
745,officer,03-0-11,-2.374,31
746,officer,03-0-10,-0.1713,12
747,officer,03-0-13,-8.7242,158
748,officer,03-0-12,-1.5861,48
749,officer,03-0-14,-30.472,474
750,officer,10-14-09,-0.223,9
751,officer,11-0-14,-59.5199,989
752,officer,11-0-12,-5.6105,91
753,officer,11-0-13,-41.1907,431
