,0,1,2,
505,25,0.0304643681968,sniper,Military
506,25,0.0238179870815,junior,Military
507,25,0.0188436391591,navy,Military
508,25,0.0169077425276,freshman,Military
509,25,0.0158267016549,sailor,Military
510,25,0.0131317462968,recruiter,Military
511,25,0.0130244926872,hero,Military
512,25,0.012747656392,vet,Military
513,25,0.0113379111732,girlfriend,Military
514,25,0.0112571040863,sophomore,Military
515,25,0.00978807975699,commander,Military
516,25,0.00932550235015,leader,Military
517,25,0.0090422849633,bro,Military
518,25,0.00800681941302,roomate,Military
519,25,0.00776914457993,sergeant,Military
520,26,0.14845638598,republican,Politics
521,26,0.0875873801373,american,Politics
522,26,0.0626885699427,democrat,Politics
523,26,0.0509834199309,voter,Politics
524,26,0.049549752541,liberal,Politics
525,26,0.0330004845381,conservative,Politics
526,26,0.0299864430593,citizen,Politics
527,26,0.0262267077403,leader,Politics
528,26,0.0212615037861,politician,Politics
529,26,0.0212058676467,senator,Politics
530,26,0.0205666395441,terrorist,Politics
531,26,0.0148263449279,candidate,Politics
532,26,0.0120445333547,liar,Politics
533,26,0.010524634447,vet,Politics
534,26,0.00928862255631,governor,Politics
535,26,0.00897631782764,criminal,Politics
536,26,0.00832700292861,immigrant,Politics
537,26,0.00798767010553,patriot,Politics
538,26,0.00762993939055,taxpayer,Politics
539,26,0.00643497616811,traitor,Politics
540,27,0.26891592732,coach,Sports
541,27,0.0471333622751,athlete,Sports
542,27,0.0204676617091,teammate,Sports
543,27,0.0193276499571,qb,Sports
544,27,0.0172234355348,kicker,Sports
545,27,0.0161618204785,announcer,Sports
546,27,0.0150052436299,defender,Sports
547,27,0.011996815744,leader,Sports
548,27,0.0108622977263,cousin,Sports
549,27,0.0107972276667,quarterback,Sports
550,27,0.0106896705028,commentator,Sports
551,27,0.0105950579269,owner,Sports
552,27,0.00987022473896,winner,Sports
553,27,0.00960180557172,freshman,Sports
554,27,0.00886727732758,hc,Sports
555,27,0.00846050666804,loser,Sports
556,27,0.00830317464222,receiver,Sports
557,27,0.00828553477803,manager,Sports
558,27,0.00820515896853,referee,Sports
559,27,0.00769699853992,reporter,Sports
560,28,0.0532305471384,candidate,Politics 2
561,28,0.0477995826698,mayor,Politics 2
562,28,0.0408401614249,reporter,Politics 2
563,28,0.0296361196528,voter,Politics 2
564,28,0.0283217093426,employee,Politics 2
565,28,0.024116912154,journalist,Politics 2
566,28,0.0228252780905,worker,Politics 2
567,28,0.0198093188807,leader,Politics 2
568,28,0.0191339156704,ceo,Politics 2
569,28,0.0170942045761,senator,Politics 2
570,28,0.0162049234365,speaker,Politics 2
571,28,0.0144596871723,customer,Politics 2
572,28,0.0143412323789,governor,Politics 2
573,28,0.0133444125863,colleague,Politics 2
574,28,0.0123569971134,consumer,Politics 2
575,28,0.0100094192691,republican,Politics 2
576,28,0.00994558004627,official,Politics 2
577,28,0.00984446286945,citizen,Politics 2
578,28,0.00883967658336,owner,Politics 2
579,28,0.00851527342598,partner,Politics 2
580,29,0.116043588097,female,
581,29,0.0736763381864,mama,
582,29,0.0645389755465,hoe,
583,29,0.0447191724951,chick,
584,29,0.0409004518244,daddy,
585,29,0.026785133907,cousin,
586,29,0.0264135543674,thug,
587,29,0.0232309790287,mf,
588,29,0.0212880424799,rapper,
589,29,0.0178329588998,momma,
590,29,0.0161356132756,hater,
591,29,0.0142701937049,granny,
592,29,0.010639812933,stripper,
593,29,0.00978354339814,ass,
594,29,0.0093293244182,uncle,
595,29,0.00890512633847,mofo,
596,29,0.00827345876628,ninja,
597,29,0.00783699535786,mommy,
598,29,0.00753054195543,fella,
599,29,0.00736821412401,auntie,
